Team brjFEj: 1939652216 points, rank 1
Team RskwVAnL: 334672604 points, rank 162480
Team jtLplxyiAMxU: 1962269899 points, rank 28473
Team ZPUhMCHyOICwicRmGBMR: 2055886771 points, rank 21398
Team ZZdWUMxEKcDWkolmsPpk: 181342995 points, rank 174501
Team iteeQr: 1997711167 points, rank 25779
Team hnwWEXZ: 214787122 points, rank 171955
Team vdKswSvP: 552802610 points, rank 144867
Team bADLpASLmYBARoLKwAND: 2991636318 points, rank 3200
Team wsSBLbMTtFOJzQQm: 1761481864 points, rank 44345
Team vpnALIujbUTTjmT: 200350040 points, rank 173071
Team oaoUaWHflOzeyNOKtF: 1161924990 points, rank 93651
Team trlCYMpRPtaoPHgIR: 2148763522 points, rank 14464
Team covAnfgAQt: 2236585672 points, rank 12787
Team jPxnJlDpAqigQNUSSW is ELIMINATED
Team BrQJTSmmdbRlmelHu: 1520764796 points, rank 63773
Team QBmUZMnIzBLV: 1935778213 points, rank 30527
Team wcaBIrRIWalF: 999840228 points, rank 107360
Team eYlabb: 923660589 points, rank 113858
Team hwXvW: 1349431861 points, rank 77940
Team fBNkRa: 1857468462 points, rank 36737
Team aFNvQVkmCXVkfGBlbW: 343298071 points, rank 161889
Team XLmQQWrpxMJ: 766099282 points, rank 127120
Team FjVopfWDlIBiJY: 832642556 points, rank 121596
Team kWgaZ: 1667744743 points, rank 51761
Team IrchfQqRjlGUSmIE: 587704970 points, rank 142054
Team eKYFT is ELIMINATED
Team nCWybRn: 1401051794 points, rank 73661
Team FzqzOLPbh: 385981689 points, rank 158553
Team aiXwMvLl: 1574336370 points, rank 59389
Team LjodpnXAaRNo: 624755525 points, rank 139011
Team gLkSjRNJZRRcMeXB: 332339859 points, rank 162809
Team UGjZKTgRoYu: 818863344 points, rank 122730
Team CqcxpJuFhpBHEdZ: 169167801 points, rank 175545
Team GQCaBIMdSVyWa: 808792553 points, rank 123571
Team PSlHmqSBwREt: 1523812616 points, rank 63541
Team YMzKdo: 1885683356 points, rank 34576
Team iqGursRafhGAVfyQUySu: 718303860 points, rank 131263
Team WWawW: 1172522076 points, rank 92789
Team hycAmaXqtieSS is ELIMINATED
Team XANqy: 1473082436 points, rank 67703
Team tSGOT: 1623409554 points, rank 55432
Team AFawqZCxlqGkasgiiuSz is ELIMINATED
Team nRnyIjfRqfsuhpsnHT: 2092395347 points, rank 18667
Team KtcMmnDmeKWB: 1042995897 points, rank 103717
Team iBrBYSHHGMCjpPRH: 27600394 points, rank 186445
Team RCRUAElKG is ELIMINATED
Team kMgptvwN: 1250594199 points, rank 86221
Team bStzkUBSaKcsSUm: 69524498 points, rank 183255
Team PccnLWpLONceJIlmQaM: 1533045705 points, rank 62813
Team nVQMnyTEmoOqc: 1239267454 points, rank 87169
Team CgsGQbnGohfyHN: 953446502 points, rank 111389
Team jHQHaobWzOHcv is ELIMINATED
Team KBXQZ: 1053981368 points, rank 102801
Team CduNaXAFQNOjYbm: 1897565090 points, rank 33582
Team VXzFR: 486726278 points, rank 150415
Team yJrReh: 514509204 points, rank 148173
Team PbkyxKdsUcuTrRBLac: 2695213714 points, rank 6022
Team UgCXjTZVHK: 118276913 points, rank 179576
Team PEHfBpq: 1096293325 points, rank 99229
Team HrzikveiuOgQN: 3290403546 points, rank 1468
Team vooTndqQOhNuxuf: 215872299 points, rank 172068
Team ZjpCWokPZkLdvGIgCHrl: 1448019902 points, rank 69759
Team YRvmNLWZosazbAGTN: 1492637511 points, rank 66136
Team punvhHWJ: 240555298 points, rank 170172
Team OEulSfKaNWqQvXAPrAF: 883055374 points, rank 117386
Team AWSVLzsbpAmrBIqaM is ELIMINATED
Team ZXntPYUMyNFVcGWrZ: 387047354 points, rank 158587
Team wymTHTbswIrZMuMakM: 1821769076 points, rank 39610
Team DjmmhhKlOlBpaNYnRku: 606271603 points, rank 140666
Team MvtjCdSaEdNTQKGQ: 2112095015 points, rank 17153
Team cjWDcDMQIa: 2136171663 points, rank 15369
Team UUjTBkFjdAwcMatpIAxS: 43793291 points, rank 185356
Team RdBqFpLnAKQKO: 811139709 points, rank 123451
Team eAfjdxHF: 1809935784 points, rank 40604
Team YlaVl is ELIMINATED
Team FjMKXFnjlKevcvCeX: 2054851924 points, rank 21506
Team yklrBXwW: 1516944641 points, rank 64171
Team HQpTMQhHgNBhf: 2905784060 points, rank 3936
Team nzDgKhsnkDl: 785540138 points, rank 125633
Team LeJsVVnKLmy: 1216644678 points, rank 89067
Team PilMGVzaJzw: 1209834344 points, rank 89620
Team XEoLYjPQLS: 1046204256 points, rank 103534
Team McjYTuHV: 1587634314 points, rank 58392
Team JvpFQpB: 457911317 points, rank 152876
Team PAXEuinOo: 412924087 points, rank 156549
Team KnEFRAAYXUBUv: 928736173 points, rank 113607
Team rdFfEudwQmyQJh: 2146803740 points, rank 14571
Team RaESLOmHTKuUn: 1138795013 points, rank 95736
Team lEiunZreYSd: 1061787945 points, rank 102269
Team TcXxGaGjNQ: 601858258 points, rank 141090
Team NLAFu: 1600900757 points, rank 57370
Team upkWHiqcDVbcGDhmZ: 164494136 points, rank 176136
Team MogdBpXsMVzCJrEs: 2105485490 points, rank 17671
Team oiDlDxIQKYE is ELIMINATED
Team CaPtaKaRjXqmXphZI: 1441974922 points, rank 70327
Team bYkvxQ: 2343701842 points, rank 10953
Team kHGAgjPzjSlXNIrL: 121101745 points, rank 179535
Team HaqHudjx: 1744860297 points, rank 45757
Team dzrNEvyAMQa: 467253972 points, rank 152144
Team KZtRQxaLfIUlqLiHtDeI: 1271582112 points, rank 84585
Team rClpljRgp: 308939138 points, rank 164864
Team njZngcHIfk: 606725825 points, rank 140722
Team bHYWeT: 2090384060 points, rank 18839
Team EBWMIUhYCIM: 256848789 points, rank 169014
Team aLXYDJpquFRmkeKM: 2425451217 points, rank 9670
Team JvctCtX: 150827659 points, rank 177225
Team nIutNuQQBVqGIhwwi: 1163727026 points, rank 93669
Team aZuOEmPwu: 816799692 points, rank 123056
Team EjfBWddvPzxTBVX: 196046357 points, rank 173737
Team eotGy: 214171915 points, rank 172361
Team SdfhjMXnIdZG: 1474486124 points, rank 67673
Team ITNChbiLpPBnFIQIr: 2109838001 points, rank 17346
Team SjZMUZ: 559899569 points, rank 144579
Team CEPzhcQ is ELIMINATED
Team mQQnXdBh: 795744642 points, rank 124840
Team sfEvzbSqgP is ELIMINATED
Team lXknLhaPWjKMy: 1541551309 points, rank 62154
Team egZtcof: 2498474530 points, rank 8570
Team PVAhRvrhFYEktBeq: 1712289071 points, rank 48394
Team NPLrAenKpuMeqlw: 47322852 points, rank 185257
Team HmBvwReD: 1506050513 points, rank 65131
Team QGEfJF: 390291838 points, rank 158508
Team pJOLhVZhGWxacw: 397047758 points, rank 157947
Team lYwer: 983804462 points, rank 108981
Team gIwNTFKlvueGSNw: 931799195 points, rank 113418
Team mRpyPCNghcomgg: 1496528273 points, rank 65890
Team GQgdZymdvpHQuvPUdS is ELIMINATED
Team MzLnQiDKdhXjt: 1467251994 points, rank 68302
Team RmiEGudGU: 2282227312 points, rank 12026
Team IJUMmhqFO: 1134256797 points, rank 96214
Team qbuzpBHhOHsFJdNrju: 964467435 points, rank 110649
Team gurcb is ELIMINATED
Team VtrkIWpJKztE is ELIMINATED
Team egfPrnzulHJt: 1401145919 points, rank 73822
Team LxXXt: 1348594419 points, rank 78237
Team vKLIHMqDN: 126523488 points, rank 179270
Team jBrlljjG: 674192052 points, rank 135217
Team zGiEXsrzbQvrOmdhNjy: 1510533180 points, rank 64801
Team DdVRWOlRKzJmPuvKNw: 1749977932 points, rank 45410
Team jewUe: 2443353645 points, rank 9425
Team wskHAajNDFxbWrckDJ: 1449357682 points, rank 69785
Team ZpCraopczWwdC is ELIMINATED
Team BUjmVnuxEPRLrSRHwo: 1170099518 points, rank 93226
Team OLXMWQFidyWzmbX: 1071292133 points, rank 101600
Team YSctxbP: 2083526834 points, rank 19359
Team FzhqhNot: 1533491055 points, rank 62929
Team DyhQRLZeuWjrVz: 658659616 points, rank 136516
Team RaFrsayVfM: 1472035616 points, rank 67979
Team EmyppLgGuF: 1875560330 points, rank 35461
Team nbZBkUMwOfxqYMpGJ: 1281670060 points, rank 83886
Team UKDcDVFJRhPugvbig: 501971716 points, rank 149550
Team DAtKyVufmVWkk: 831243599 points, rank 122072
Team yrDSODVCmyMOkPmjjej is ELIMINATED
Team bZznWQz: 470456921 points, rank 152133
Team HUlor: 1941829886 points, rank 30181
Team satblcDMlpTY: 785731197 points, rank 125837
Team AhGdtaiUPikWm: 351501271 points, rank 161740
Team QZLvEgGVnlGkqGKHQ is ELIMINATED
Team BqiAeMuHIZkm: 1256928422 points, rank 85941
Team voCyRTWYaW is ELIMINATED
Team uqthuW: 866023317 points, rank 119155
Team bGYPEPGSnYGuLpUw: 1797279146 points, rank 41681
Team jMfbEmWnuwgBUZn: 913403535 points, rank 115113
Team bMScDs is ELIMINATED
Team UPfnYji: 1175575709 points, rank 92803
Team VIRyStoJOczfr is ELIMINATED
Team fRFMCELmSnIEc: 424850585 points, rank 155883
Team zCygLzusEcURQKZPGJE: 1847586743 points, rank 37664
Team fLheOA: 1845882058 points, rank 37806
Team JdJwHR: 687246690 points, rank 134225
Team gRhhjDBjBWJ: 1803937221 points, rank 41198
Team LMlIUNRgCRrBKFEv: 1654162053 points, rank 53070
Team YdyQBNN: 2231833167 points, rank 12926
Team QsHqaOw: 560211716 points, rank 144808
Team EgMiHZjLlXGpJgGliYuL: 2377472793 points, rank 10410
Team FHiBiifVUgAOuU: 1690329135 points, rank 50189
Team QnCDoPpnMwgKvNkAdGd: 1181805229 points, rank 92262
Team HpYbIZOZ: 1699526872 points, rank 49463
Team BqwNpvmLe: 528792844 points, rank 147426
Team qaoPqYzXiCrPiwOl: 2437525223 points, rank 9511
Team tCGPMzdEANLtSI: 1682692309 points, rank 50816
Team mSNaUpW is ELIMINATED
Team bcIoFPQW is ELIMINATED
Team CPgdWnMhzbTlJIQofr: 985788952 points, rank 109001
Team WcdVgrAraxlDB: 1598197567 points, rank 57724
Team nFSMLRsIVnGUUh: 1656929654 points, rank 52865
Team GAuHHYGM: 723790800 points, rank 131238
Team tzIezyCSxVtmxhMB: 1628338440 points, rank 55236
Team rXIbMXpoCUOYD: 558871049 points, rank 144967
Team fxKSEvU: 187000336 points, rank 174786
Team ZqCruATQHQXScx: 430506937 points, rank 155497
Team afFEdkPmG: 499788060 points, rank 149860
Team FcjRpNzIIrNpevjXjcmS is ELIMINATED
Team QwYaSY: 1081713340 points, rank 100856
Team xaFpyKMajZhvWLa: 2097155740 points, rank 18355
Team rCxGDTMmrhLhGC: 639397050 points, rank 138273
Team WrMCbSaHY: 1208435214 points, rank 89983
Team pzMNfgqVTB: 1315021449 points, rank 81194
Team RhNVawHYK: 1786137837 points, rank 42591
Team MbEyRUCuLU is ELIMINATED
Team GMrrAlzVMgmI: 2100629204 points, rank 18109
Team WBlVhzCLRz: 1055756428 points, rank 103024
Team sUdisyXAcM: 1116827151 points, rank 97823
Team DjmJnAqIEXIuzMtGgMQN: 1138252462 points, rank 96059
Team cWcDSutrxsPLj: 419287430 points, rank 156462
Team BbVoeSfrEandToh: 1541218866 points, rank 62347
Team QzBaFzNXDPANl: 454647160 points, rank 153572
Team PDEKAFfFVqX: 1125256929 points, rank 97140
Team goGfMsYAo: 1165283436 points, rank 93794
Team ciNEB: 1814988966 points, rank 40350
Team CnuZNkmgrCRgOGkFRn: 1111558962 points, rank 98280
Team OfgAGSvkrLTrRzhTLgLc: 1403030661 points, rank 73809
Team BtiMcIky: 629710622 points, rank 139084
Team gNAnlIvLsCJPDJHTE: 991390378 points, rank 108579
Team ayFfNjUiQWLkMyekZCLP is ELIMINATED
Team mZOHkipiSKCUwyHBm: 1742132759 points, rank 46122
Team lTdWZmwPlkFuD: 1780424973 points, rank 43084
Team rPeZvYpOz: 451817306 points, rank 153814
Team evbvDsilCcIlGVWopgn: 2317950289 points, rank 11416
Team ulBkDLjhUo: 2354903481 points, rank 10814
Team ShCgEZVRkUBBPfTVIC: 97110169 points, rank 181855
Team wGFIhgzpsiKdDvZhqdjg: 969421876 points, rank 110477
Team tPHkCHRnKurigT: 1421691165 points, rank 72309
Team NQIQTTNI: 3354165888 points, rank 1227
Team SYyKdKCXMKtHCS: 1367078327 points, rank 76873
Team ITsWlC: 2115020107 points, rank 17006
Team zcDAuGRLwgPbTtrbydLS: 1730669368 points, rank 47078
Team wgTfycoot: 2120163309 points, rank 16631
Team oxTkYMHtTxejMaUrhdgq: 270803825 points, rank 168437
Team PFZcGFfbi: 681930537 points, rank 134830
Team bVsSwYmkYTdMCk: 126012863 points, rank 179666
Team KtcHSrRgLezV: 2010929343 points, rank 24894
Team qOvlPBVhogLZtSHBhlLT: 561624142 points, rank 144853
Team iKJoyfGjmPFtdkIJx is ELIMINATED
Team VCIWeejiSEKnsgrva: 1101021737 points, rank 99224
Team vhIbdMsAOifJ: 2965075744 points, rank 3423
Team DLcrOLcJCXWMC: 1303820359 points, rank 82192
Team BDrslxU: 715772738 points, rank 132064
Team waeOVSqrJg: 1884928478 points, rank 34820
Team KfpsQpLBeWFXqnlK: 1937827447 points, rank 30538
Team yZqkwbnCQZdFB: 1987938152 points, rank 26701
Team wQNSILnnZC: 1565927553 points, rank 60371
Team KYzRNK: 1841072543 points, rank 38261
Team dNVlKjssJaWTtaQ: 297528576 points, rank 166297
Team VeYmLsLqqMZQIbHf: 1117072758 points, rank 97864
Team thyvNyPPRWLtmeLoN: 1352152953 points, rank 78120
Team uhdLuzVcNLXNYbS: 520492944 points, rank 148307
Team lwvJkkUMJx: 91721206 points, rank 182353
Team jnvIohlesmKa: 1765084531 points, rank 44302
Team FjfQSaFCxbiPHXhPlmLT: 2068108248 points, rank 20520
Team eEAMvbuqAUrwgoyy: 1901370680 points, rank 33404
Team gADCbT: 1268470049 points, rank 85147
Team FPBSedDooBco: 1257170954 points, rank 86102
Team aGlwtXAWTEonJAEt is ELIMINATED
Team HktbfnNMWwtnfGY: 403614864 points, rank 157888
Team KWxFwkqzClvbjN: 767404505 points, rank 127636
Team DdcbPqZIDV: 133108296 points, rank 179212
Team QeEZgDwzx: 861799609 points, rank 119751
Team RqitGTNOYlHcDZl: 1837727093 points, rank 38555
Team uZSuQuR: 1353951448 points, rank 77992
Team BTgjOiznweSEqhJo: 668199133 points, rank 136087
Team MiJVSbntiYimSdYuh is ELIMINATED
Team giuxmwx: 2094904956 points, rank 18552
Team oEQmDtDqOKrREdBWs is ELIMINATED
Team ZtWudEglqliVkilfY: 12475264 points, rank 188483
Team YLTpqqAblBc: 272878966 points, rank 168362
Team tvihTGKH: 2056839245 points, rank 21469
Team DjDVPyFiPteIsedfO: 3929903628 points, rank 65
Team dWLziOoPnUo: 1301920504 points, rank 82415
Team EPSyZNFihG: 1888483827 points, rank 34535
Team PdcmNikzhGvfzNBgoYd: 1831208743 points, rank 39073
Team IZyDLTwVMjjoLcEA: 1825500666 points, rank 39522
Team HBSTvFnOLZYcuxSiUx: 406159559 points, rank 157721
Team AGIbhG: 592236790 points, rank 142413
Team XoySBsz: 1999641406 points, rank 25819
Team jaWnb: 977806609 points, rank 109876
Team MSrPFDfHlh: 2056404655 points, rank 21506
Team NbfKOTbUM: 2668877215 points, rank 6365
Team CyHtD: 407257513 points, rank 157655
Team fzLkjfSEOLLEDYZMmx: 1474593779 points, rank 67951
Team RSSoyB: 309882293 points, rank 165444
Team xXZVDHqGztvEvKvtOfL: 1280985540 points, rank 84199
Team QdLnASAJZPSRGU is ELIMINATED
Team FZDAuvVgnmelbNRo: 15055349 points, rank 188345
Team jGGssFyzIJBfIWRIT: 32919559 points, rank 187020
Team FODDxRFVi: 1134868187 points, rank 96510
Team FARunDzcksMuVRh: 821301632 points, rank 123203
Team eSazJQlVVAxXTaltM: 940177603 points, rank 113135
Team dZLDSjCSmMVG is ELIMINATED
Team JZDJzTXCNQ: 1636359394 points, rank 54697
Team LFdwgDvxrxhLPKcncqy: 1683442468 points, rank 50883
Team ELhkBCVUOiPZi: 500327784 points, rank 150124
Team ATIwcNISlwQdvMQEjHY is ELIMINATED
Team kIPuvwkqjguUTdjTUsHO: 303882371 points, rank 165995
Team fwpUKLWtb is ELIMINATED
Team rWLmbnTmcPtxT: 1288697661 points, rank 83574
Team SLrwcHoAkkaea: 602622922 points, rank 141687
Team nqDRYACxXExUnrZxLiO: 1443350075 points, rank 70555
Team VGkqIZYWZjMPmdvpwTJ: 2423723144 points, rank 9746
Team PrHrPao: 1807159582 points, rank 41071
Team fTcGxO: 2005536067 points, rank 25399
Team HIIGHtEExhEsmejekzs is ELIMINATED
Team NrmRDFTSMr: 2144223205 points, rank 14852
Team tJwsZqQA: 3637382124 points, rank 425
Team YMbZWhQEbwtwQwfjd: 270484035 points, rank 168737
Team wJNhmowWdVfff: 1634615215 points, rank 54863
Team GxKkCzcicytOpV is ELIMINATED
Team ALjWgYAHVdQygUYxBn: 1015780097 points, rank 106684
Team Vashl is ELIMINATED
Team LYDcATRVDQxfWy: 713822680 points, rank 132441
Team AjHUZxkbfbNQCwCWjz is ELIMINATED
Team ZIAbMe: 1581778177 points, rank 59185
Team XvazHOrdDQZ: 1164898892 points, rank 94044
Team noDrAitRfDUEju: 1451472784 points, rank 69881
Team JUoruzGIdUtUGXPtE is ELIMINATED
Team BEdZlzymQYmwCTEtT: 3468005542 points, rank 830
Team UPWFBt: 1017630115 points, rank 106544
Team jFYiWOd: 2506837019 points, rank 8495
Team jOweJbPRDoAEH: 2122771014 points, rank 16438
Team qUyABpBt: 1805826536 points, rank 41206
Team mUAnYjKQyDpuKg: 2034331658 points, rank 23155
Team pfTIEtLrYBBE: 756517188 points, rank 128796
Team LTAJiwXPnaeevDuAaTNP: 1964317998 points, rank 28536
Team MVMAyPq: 1118681919 points, rank 97912
Team tolcKrZAkMJ: 1923965823 points, rank 31692
Team BqobCFGH: 893767671 points, rank 117203
Team LqfLxkVksjmTwApplLc is ELIMINATED
Team EmYgHdybbCJlkKUxsH: 1351037564 points, rank 78345
Team WqDJqC: 183399930 points, rank 175583
Team wviSFmfnrjcZKKJH: 1656587957 points, rank 53062
Team eMyvGMBbi: 219722476 points, rank 172820
Team adWDEkDSFalMMeLk: 1307823840 points, rank 82036
Team gueHBntqxEoWjELlfHD: 464020271 points, rank 153217
Team HPfYmYJUIIFo: 1011398339 points, rank 107103
Team bFihRYXf: 1549282482 points, rank 61840
Team sXAzbknwWGwc: 1422128708 points, rank 72448
Team JPwqeiKWTcIKJKyXET is ELIMINATED
Team kbiFXSCuuBlkwNIzdkQm: 2634917378 points, rank 6765
Team GFviLpjOv: 1606886471 points, rank 57190
Team vFBXYHaEiXn: 1346817000 points, rank 78743
Team VtykyJAcZbUernHefmol is ELIMINATED
Team HHJBDMXSlpO: 441957574 points, rank 155040
Team JwNUjkhtNGbYwNUhWri: 789319716 points, rank 126031
Team QSoiGvDuuzpgtxkRpX: 556431865 points, rank 145665
Team BSpoxrq: 1049790583 points, rank 103811
Team MTFLlF: 626556228 points, rank 139818
Team qDmMRMbW: 1237673097 points, rank 87897
Team eidClsbhTPMKEu: 202845731 points, rank 174186
Team PweoblaHuPIqIQg: 1067973096 points, rank 102335
Team LhJevUzpzLPsceo: 728245932 points, rank 131310
Team JZcNEJ: 1113523819 points, rank 98399
Team mxQmlSLqAmRScFJsLWEV: 29916993 points, rank 187532
Team eMtklVY: 989329306 points, rank 109109
Team qIEpsUggMwnFUYfuW: 843586612 points, rank 121563
Team DKzihHRQfLZHNGX: 256051684 points, rank 170037
Team WhYFKqMEECo: 2293997664 points, rank 11860
Team azmBcKNhZNeudu: 1864762310 points, rank 36468
Team DKWKFwTlpbbieTTus: 655359857 points, rank 137408
Team mSoHUUhYHKNQVD: 1275894713 points, rank 84785
Team LVOGRFFJtEjuNs: 17210627 points, rank 188490
Team MjJDmOLgJn: 107565431 points, rank 181644
Team llmEkTqISqveqd: 122834997 points, rank 180436
Team acnRAAWi: 1883866675 points, rank 35022
Team IMijAn: 1363093274 points, rank 77423
Team dVjESSHjRHXbFMLGpKr: 1370606488 points, rank 76815
Team kUiSbJvxpNleo: 726401195 points, rank 131543
Team isnOLw: 405983817 points, rank 158090
Team mMqErBNGbVmLD: 311560216 points, rank 165623
Team uGUcrf: 393949368 points, rank 159056
Team wHnwfOReFOovQsYly: 1899051909 points, rank 33704
Team kEVLuqDXtsOGAifK: 870714444 points, rank 119298
Team POvHkYPdRpjEjck: 961156547 points, rank 111545
Team bcQziEBQ: 1932562852 points, rank 31015
Team vsSxSaLqlx: 54830371 points, rank 185696
Team upRlYYdmHttPhL: 1091085214 points, rank 100384
Team NxZdvLanMQoKRIgiR: 194201691 points, rank 174911
Team JXVIdGsDrTc: 89554396 points, rank 183032
Team xiGVKWhablJoKM: 485505999 points, rank 151636
Team KYyqWReUGOLvJbrhKx: 3431683846 points, rank 933
Team YojuZsTQqLgeyIerQ is ELIMINATED
Team EzSSU: 489663198 points, rank 151284
Team DRxkC: 1723597616 points, rank 47810
Team rFIzDJRiGyhv: 3291195381 points, rank 1473
Team vxbDKdA: 1250488990 points, rank 86910
Team OHGesfnuJgrXePHI: 342575446 points, rank 163246
Team fjMxsCJxhnnWqcR: 1530601318 points, rank 63518
Team jmZPAuU: 1948078199 points, rank 29846
Team OaFVexqgVP: 159191392 points, rank 177677
Team VijetiFB: 1209377803 points, rank 90279
Team esCTZLtBblVTqyAwJ: 727493011 points, rank 131492
Team zFlPfrbmQ: 1083080629 points, rank 101162
Team bLRdnRnPeWJRg: 243159657 points, rank 171178
Team xqsOJcCxxQnqez: 31954522 points, rank 187532
Team ZrcXtcbTkbC: 1827155395 points, rank 39521
Team VhIUrLwpJGHm: 1625596459 points, rank 55727
Team PzlhVUUA: 456926036 points, rank 154014
Team pUxJNvEpCyYU: 2037067573 points, rank 23003
Team vcoEICtxTPVYtM: 1788565090 points, rank 42582
Team JtBwhGd: 935404957 points, rank 113806
Team lCKYzEJCMVgcYbGQNTOY: 489647625 points, rank 151349
Team jPxnJlDpAqigQNUSSW is ELIMINATED
Team yLJzRbpjjzPhDPksNiHS: 2684586167 points, rank 6196
Team ulNzVkevvsM: 2034368475 points, rank 23190
Team pTPAShZaZkRYH: 489895522 points, rank 151326
Team YoiIPNrNZkQbiiwJQody is ELIMINATED
Team ShDPIMbIvUOqoYBCu: 67494289 points, rank 184827
Team JkkjXEqpyRVs: 1196558779 points, rank 91447
Team wopPOa: 539462773 points, rank 147274
Team WDBDHKJxiEjj: 2537550223 points, rank 8075
Team MpMYoCteocFktwoBbepM: 559968317 points, rank 145554
Team aMSlzxeWiwSFX: 1277594648 points, rank 84717
Team NSXrFIt: 167614736 points, rank 177091
Team bzIHtTcu: 539831765 points, rank 147245
Team kqgaaQpRo: 2559254655 points, rank 7757
Team qoIonPtlSxiiXQxElbo: 553805045 points, rank 146099
Team CKwaXruFJ: 389264182 points, rank 159594
Team AwkLZNT: 6222954 points, rank 189557
Team szbJIOKdUxzHNzNQndgf: 762836549 points, rank 128528
Team YgdzRbvbGx: 1159995490 points, rank 94699
Team cMJvHHW: 541473854 points, rank 147133
Team JqnjO: 2717049581 points, rank 5829
Team HbHzoWLDlxaDA is ELIMINATED
Team LKUeksMcQgtjRnkq: 1924616481 points, rank 31673
Team ERrzvLXFD: 887926663 points, rank 117950
Team XWLanqewDchuY: 1416841023 points, rank 73042
Team afKMrCoGIBm is ELIMINATED
Team vSyYU: 874523330 points, rank 119098
Team YunvBRoiAePBv: 1287382412 points, rank 83902
Team MpIYpWWzCGPdN is ELIMINATED
Team bnmQMDZxNzvVbTKI: 371730414 points, rank 161038
Team bYkvxQ: 2343701842 points, rank 11038
Team XyiGtTf: 725959370 points, rank 131768
Team dILszsYQf: 337411932 points, rank 163789
Team wdXMZYudUK: 1660845419 points, rank 52812
Team HoJritztagjbg: 88377783 points, rank 183357
Team kFpAKYUOQlWBeXjjfdU: 2410293989 points, rank 9957
Team cYtad: 2291256894 points, rank 11923
Team IOeVAqLcaWz: 2015923764 points, rank 24589
Team sIAOkepxyQ: 3526631236 points, rank 684
Team jVTcTMOpJFUPAehTGZ: 1149685085 points, rank 95589
Team TYGLiLsksfRExg: 743727219 points, rank 130233
Team PwsKSoNNtecHCzF: 1547927307 points, rank 62108
Team HMBUiAYKYIVq: 934208525 points, rank 114025
Team ykaXKSfUvtVFLBUvNy is ELIMINATED
Team HoEoRtGXDHNPkeoeL: 1533490846 points, rank 63355
Team KpvvnL: 96820022 points, rank 182788
Team eJeozzaQk: 2635432944 points, rank 6774
Team rBoRQtxrqDvpjSXPD: 343165776 points, rank 163428
Team nUneKLLoFMDePsKmwZ: 183201092 points, rank 176059
Team OJQoXdEUBsWRSqERVjE: 1475590621 points, rank 68129
Team dVSwoCKe: 1428906463 points, rank 72081
Team taBLC: 75168974 points, rank 184454
Team FaKRNWPVgFXHFMjP: 1857651834 points, rank 37116
Team zvbbeLUzBMdvY: 548772587 points, rank 146638
Team GpESNhYPbtQ: 599298073 points, rank 142461
Team zCSWQHaJ: 451189029 points, rank 154677
Team GAiaOFEiyk: 1926282431 points, rank 31577
Team PeecdTgmaBuC: 1955797156 points, rank 29286
Team YIbPyVUdkHdib: 987402239 points, rank 109526
Team gozhbxcMZjerDXeFCfrr: 1480541749 points, rank 67737
Team nUJvpKre: 792704433 points, rank 126093
Team PKNqhEerLgydhCPs: 1215950473 points, rank 89887
Team SozqdenhjPYZDguxAFUp: 1476686825 points, rank 68050
Team lsHoIkFkygshRgEjqXTr: 443743800 points, rank 155288
Team eRztvgL: 782744427 points, rank 126933
Team NNwTQkftHQYq: 1740889479 points, rank 46490
Team gmPqOxj is ELIMINATED
Team gGGWtZAcp is ELIMINATED
Team eqipUNgtMzGdYncCwska: 563184231 points, rank 145487
Team aeHZMEZsyhTeWFJh: 1598233401 points, rank 58077
Team IRROHoqnuOM: 2389727216 points, rank 10294
Team mlmCIhKzUcJn: 551569765 points, rank 146504
Team aTzKTZ: 835199899 points, rank 122613
Team OFmPWkZsuJnaeFhkRFiL: 183492600 points, rank 176130
Team WEIagjU: 311575376 points, rank 166012
Team fyRxaXeso is ELIMINATED
Team MVFUOBToRrXvp: 1120340173 points, rank 98115
Team cHPesHDtXHAqR: 1321125245 points, rank 81174
Team VMvMXtSNtUlcD: 1908654145 points, rank 33015
Team ukWhcFR: 1080664884 points, rank 101587
Team qtNZetvsoFQoiXdsx: 1776444886 points, rank 43655
Team cCuyrWfvVBUGv: 1345156465 points, rank 79149
Team dzMwIovHagZqIdFQHC: 1048697712 points, rank 104249
Team DjYktKJA: 633413147 points, rank 139632
Team RfhrzqXaGqcErROgp: 2325293545 points, rank 11365
Team JOTubfLPQwyYmaSjiQ: 1627899012 points, rank 55631
Team wRLtxltnBVCDlyEAQj: 785523275 points, rank 126783
Team BCOZDnIdPpgvQroeAdB: 1695198405 points, rank 50157
Team yeqbGJKHev: 1851480040 points, rank 37658
Team MrNMoZoTPQ: 2116911961 points, rank 16982
Team btXeDogdodSFKMv: 1770596090 points, rank 44109
Team trQoFteUKYPcfdYy: 548179832 points, rank 146850
Team nAdhzqw is ELIMINATED
Team HqqaCLzcKFflckewl: 1214920161 points, rank 90056
Team ElbHFHqurGWLaquTgql: 381016394 points, rank 160589
Team lXPNUwVTCxUDQh: 1530491566 points, rank 63694
Team wKHwO is ELIMINATED
Team lMdNSiOOyAru: 1829758409 points, rank 39407
Team tStVdROMzMWlVohMfN: 205048864 points, rank 174635
Team QdpGVORjkDlNMEpyi: 1183568051 points, rank 92797
Team pYeLQXxgM is ELIMINATED
Team FepLNhRaEvJCSKY: 984926263 points, rank 109880
Team fXsPqohYAIItmpzjA: 1371418168 points, rank 77021
Team ZAARNgq: 1943365974 points, rank 30287
